source,target,lag,cond_set,std_r,std_p,decision,method
Z,Z,1,"['Y_lag1', 'W_lag1']",0.04822288766642679,0.09511281656059047,False,standard
X,Z,1,"['Z_lag1', 'W_lag1']",0.004422724903708727,0.8784102236655132,False,standard
Y,Z,1,"['Z_lag1', 'W_lag1']",0.039129426228224816,0.17572887614431534,False,standard
W,Z,1,"['Z_lag1', 'Y_lag1']",0.01999917643156982,0.4890315600875269,False,standard
Z,X,1,[],0.8715357994900295,0.0,True,standard
X,X,1,"['Y_lag1', 'W_lag1']",0.44751553306386493,4.1891673266385786e-60,True,standard
Y,X,1,"['X_lag1', 'W_lag1']",0.03099597117342758,0.2835302367669374,False,standard
W,X,1,"['X_lag1', 'Y_lag1']",0.0559823966854713,0.05262603902487523,False,standard
Z,Y,1,"['X_lag1', 'W_lag1']",0.008303153476978428,0.7739478005803949,False,standard
X,Y,1,[],0.9014837808534281,0.0,True,standard
Y,Y,1,"['Z_lag1', 'W_lag1']",0.8000437408504031,7.17786141055562e-268,True,standard
W,Y,1,"['Z_lag1', 'Y_lag1']",0.07675886105888659,0.007836173593674648,True,standard
Z,W,1,"['X_lag1', 'W_lag1']",0.0009965286896531566,0.9725020481250966,False,standard
X,W,1,"['Z_lag1', 'W_lag1']",0.013050168835866634,0.6516792330970598,False,standard
Y,W,1,"['Z_lag1', 'W_lag1']",0.0024472618288957533,0.9325380211378688,False,standard
W,W,1,"['X_lag1', 'Y_lag1']",0.5433874601009597,4.661000865457202e-93,True,standard
