source,target,lag,cond_set,std_r,std_p,decision,method,fstat,iv_coef,iv_p,proxy_r,proxy_p
Z,Z,1,[],,,False,forbidden,,,,,
X,Z,1,"['Y_lag1', 'W_lag1']",-0.0145441546458088,0.6148829660136058,False,standard,,,,,
Y,Z,1,['X_lag1'],0.043282516008935096,0.13416853648967192,False,standard,,,,,
W,Z,1,[],0.02271329563215736,0.4320053104216917,False,standard,,,,,
Z,X,1,[],0.8715357994900295,0.0,True,standard,,,,,
X,X,1,['Z_lag1'],0.9481357869525242,0.0,True,standard,,,,,
Y,X,1,[],,,False,forbidden,,,,,
W,X,1,['Z_lag1'],0.13423516165391522,3.0954697117647773e-06,True,standard,,,,,
Z,Y,1,[],0.05046956057844168,0.08065837157843264,False,standard,,,,,
X,Y,1,[],0.9014837808534281,0.0,False,protected_reject,3.2046277303869073,,,0.030285839211121955,0.29471161616684505
Y,Y,1,['X_lag1'],0.9569594989222628,0.0,True,standard,,,,,
W,Y,1,['X_lag1'],0.11480838698742836,6.763468220404144e-05,True,standard,,,,,
Z,W,1,[],0.006275273057647348,0.8281563372875964,False,standard,,,,,
X,W,1,[],0.037090473187937414,0.199345588653379,False,standard,,,,,
Y,W,1,[],0.033905729254517514,0.2407347924289944,False,standard,,,,,
W,W,1,[],,,False,forbidden,,,,,
