source,target,lag,std_r,std_p,decision,method,fstat,iv_coef,iv_p,proxy_r,proxy_p,val,pval,strength
Z,Z,1,0.04949689314669329,0.08668116814794308,False,forbidden,,,,,,0.0,1.0,0.5
Z,X,1,0.6724303649771096,1.311439417285593e-158,True,standard,,,,,,0.6724303649771096,1.311439417285593e-158,0.5
Z,Y,1,0.05882305523688627,0.041702156314994576,False,standard,,,,,,0.05882305523688627,0.041702156314994576,0.5
Z,W,1,0.006275273057647348,0.8281563372875964,False,standard,,,,,,0.006275273057647348,0.8281563372875964,0.5
X,Z,1,0.030576857060228408,0.2900942010673068,False,standard,,,,,,0.030576857060228408,0.2900942010673068,0.5
X,X,1,0.6337896600879884,1.124544140539718e-135,True,standard,,,,,,0.6337896600879884,1.124544140539718e-135,0.5
X,Y,1,0.8805489574103206,0.0,False,protected_reject,1.1201754942228639,,,0.03254639402911357,0.2601260941568373,0.0,1.0,0.5
X,W,1,0.09018916159016525,0.0017716701706373028,True,standard,,,,,,0.09018916159016525,0.0017716701706373028,0.5
Y,Z,1,0.05475832573958478,0.058021149901169175,False,standard,,,,,,0.05475832573958478,0.058021149901169175,0.5
Y,X,1,0.505682325664755,7.833614266627009e-79,False,forbidden,,,,,,0.0,1.0,0.5
Y,Y,1,0.8858303694901948,0.0,True,standard,,,,,,0.8858303694901948,0.0,0.5
Y,W,1,0.07367542228544442,0.010712628684543528,False,standard,,,,,,0.07367542228544442,0.010712628684543528,0.5
W,Z,1,0.02271329563215736,0.4320053104216917,False,standard,,,,,,0.02271329563215736,0.4320053104216917,0.5
W,X,1,0.19189491004868384,2.0828494427774842e-11,True,standard,,,,,,0.19189491004868384,2.0828494427774842e-11,0.5
W,Y,1,0.18795628948975254,5.379145801935684e-11,True,standard,,,,,,0.18795628948975254,5.379145801935684e-11,0.5
W,W,1,0.5443678917411641,1.879564426366595e-93,False,forbidden,,,,,,0.0,1.0,0.5
Z,Z,1,0.04949689314669329,0.08668116814794308,False,forbidden,,,,,,0.0,1.0,0.8
Z,X,1,0.7805985778480071,1.4645719643596402e-246,True,standard,,,,,,0.7805985778480071,1.4645719643596402e-246,0.8
Z,Y,1,0.058360223384187296,0.04333887566999747,False,standard,,,,,,0.058360223384187296,0.04333887566999747,0.8
Z,W,1,0.006275273057647348,0.8281563372875964,False,standard,,,,,,0.006275273057647348,0.8281563372875964,0.8
X,Z,1,0.021626422274616412,0.45436640030107317,False,standard,,,,,,0.021626422274616412,0.45436640030107317,0.8
X,X,1,0.5725120708474127,2.3643271142466433e-105,True,standard,,,,,,0.5725120708474127,2.3643271142466433e-105,0.8
X,Y,1,0.879664008041459,0.0,False,protected_reject,0.5601014226937261,,,0.035519939688648666,0.21905719336200047,0.0,1.0,0.8
X,W,1,0.06968110495752602,0.015811605605519783,False,standard,,,,,,0.06968110495752602,0.015811605605519783,0.8
Y,Z,1,0.05238308994340119,0.06980094155346095,False,standard,,,,,,0.05238308994340119,0.06980094155346095,0.8
Y,X,1,0.408498962936937,1.976871524074258e-49,False,forbidden,,,,,,0.0,1.0,0.8
Y,Y,1,0.8577639766006958,0.0,True,standard,,,,,,0.8577639766006958,0.0,0.8
Y,W,1,0.06228480299160013,0.03104041642546383,False,standard,,,,,,0.06228480299160013,0.03104041642546383,0.8
W,Z,1,0.02271329563215736,0.4320053104216917,False,standard,,,,,,0.02271329563215736,0.4320053104216917,0.8
W,X,1,0.14594513787056995,3.864607946951169e-07,True,standard,,,,,,0.14594513787056995,3.864607946951169e-07,0.8
W,Y,1,0.16123624187128713,1.9769495944787424e-08,True,standard,,,,,,0.16123624187128713,1.9769495944787424e-08,0.8
W,W,1,0.5443678917411641,1.879564426366595e-93,False,forbidden,,,,,,0.0,1.0,0.8
Z,Z,1,0.04949689314669329,0.08668116814794308,False,forbidden,,,,,,0.0,1.0,1.2
Z,X,1,0.8367037807246595,2.714579117e-315,True,standard,,,,,,0.8367037807246595,2.714579117e-315,1.2
Z,Y,1,0.05568087183306785,0.0539145372538983,False,standard,,,,,,0.05568087183306785,0.0539145372538983,1.2
Z,W,1,0.006275273057647348,0.8281563372875964,False,standard,,,,,,0.006275273057647348,0.8281563372875964,1.2
X,Z,1,0.014659306438002371,0.6120850490851304,False,standard,,,,,,0.014659306438002371,0.6120850490851304,1.2
X,X,1,0.5353302164809619,7.261088643442697e-90,True,standard,,,,,,0.5353302164809619,7.261088643442697e-90,1.2
X,Y,1,0.8886220656665124,0.0,False,protected_reject,0.25728492180751933,,,0.03541076788242663,0.22047761132069796,0.0,1.0,1.2
X,W,1,0.05317637081979674,0.06566587409065712,False,standard,,,,,,0.05317637081979674,0.06566587409065712,1.2
Y,Z,1,0.048220275582843634,0.09513075485378968,False,standard,,,,,,0.048220275582843634,0.09513075485378968,1.2
Y,X,1,0.3351519356516756,7.315148120041244e-33,False,forbidden,,,,,,0.0,1.0,1.2
Y,Y,1,0.8296130266000717,3.0230737486111285e-305,True,standard,,,,,,0.8296130266000717,3.0230737486111285e-305,1.2
Y,W,1,0.049655860083275744,0.0856727563182486,False,standard,,,,,,0.049655860083275744,0.0856727563182486,1.2
W,Z,1,0.02271329563215736,0.4320053104216917,False,standard,,,,,,0.02271329563215736,0.4320053104216917,1.2
W,X,1,0.1092288982493122,0.00015087672870208805,True,standard,,,,,,0.1092288982493122,0.00015087672870208805,1.2
W,Y,1,0.13102923325102622,5.313837525713078e-06,True,standard,,,,,,0.13102923325102622,5.313837525713078e-06,1.2
W,W,1,0.5443678917411641,1.879564426366595e-93,False,forbidden,,,,,,0.0,1.0,1.2
Z,Z,1,0.04949689314669329,0.08668116814794308,False,forbidden,,,,,,0.0,1.0,1.6
Z,X,1,0.8599619414610061,0.0,True,standard,,,,,,0.8599619414610061,0.0,1.6
Z,Y,1,0.05285597162744753,0.06731104572929782,False,standard,,,,,,0.05285597162744753,0.06731104572929782,1.6
Z,W,1,0.006275273057647348,0.8281563372875964,False,standard,,,,,,0.006275273057647348,0.8281563372875964,1.6
X,Z,1,0.010611838378191848,0.71356028942971,False,standard,,,,,,0.010611838378191848,0.71356028942971,1.6
X,X,1,0.5183376137472094,2.0782262457073e-83,True,standard,,,,,,0.5183376137472094,2.0782262457073e-83,1.6
X,Y,1,0.8963149880820842,0.0,False,protected_reject,0.13481068435882368,,,0.034085339642695146,0.2382507330528455,0.0,1.0,1.6
X,W,1,0.043408378167697055,0.13303927466002502,False,standard,,,,,,0.043408378167697055,0.13303927466002502,1.6
Y,Z,1,0.04457865223329267,0.1228882489650839,False,standard,,,,,,0.04457865223329267,0.1228882489650839,1.6
Y,X,1,0.29592237314090913,1.167747043242008e-25,False,forbidden,,,,,,0.0,1.0,1.6
Y,Y,1,0.8119035390536418,4.610582429559624e-282,True,standard,,,,,,0.8119035390536418,4.610582429559624e-282,1.6
Y,W,1,0.04049698355540565,0.16109919034447537,False,standard,,,,,,0.04049698355540565,0.16109919034447537,1.6
W,Z,1,0.02271329563215736,0.4320053104216917,False,standard,,,,,,0.02271329563215736,0.4320053104216917,1.6
W,X,1,0.08758840437405434,0.0024009031551571647,True,standard,,,,,,0.08758840437405434,0.0024009031551571647,1.6
W,Y,1,0.10888498497396545,0.00015833513785053053,True,standard,,,,,,0.10888498497396545,0.00015833513785053053,1.6
W,W,1,0.5443678917411641,1.879564426366595e-93,False,forbidden,,,,,,0.0,1.0,1.6
Z,Z,1,0.04949689314669329,0.08668116814794308,False,forbidden,,,,,,0.0,1.0,2.0
Z,X,1,0.8715357994900295,0.0,True,standard,,,,,,0.8715357994900295,0.0,2.0
Z,Y,1,0.05046956057844168,0.08065837157843264,False,standard,,,,,,0.05046956057844168,0.08065837157843264,2.0
Z,W,1,0.006275273057647348,0.8281563372875964,False,standard,,,,,,0.006275273057647348,0.8281563372875964,2.0
X,Z,1,0.00802042341478274,0.7814464028346337,False,standard,,,,,,0.00802042341478274,0.7814464028346337,2.0
X,X,1,0.5093147337877499,3.982091953406617e-80,True,standard,,,,,,0.5093147337877499,3.982091953406617e-80,2.0
X,Y,1,0.9014837808534281,0.0,False,protected_reject,0.07700460201757052,,,0.032642493639333706,0.258720729730027,0.0,1.0,2.0
X,W,1,0.037090473187937414,0.199345588653379,False,standard,,,,,,0.037090473187937414,0.199345588653379,2.0
Y,Z,1,0.041708357083709215,0.14892487669819685,False,standard,,,,,,0.041708357083709215,0.14892487669819685,2.0
Y,X,1,0.2729898564610355,6.193957932781904e-22,False,forbidden,,,,,,0.0,1.0,2.0
Y,Y,1,0.8007474314318322,1.0986483836040579e-268,True,standard,,,,,,0.8007474314318322,1.0986483836040579e-268,2.0
Y,W,1,0.033905729254517514,0.2407347924289944,False,standard,,,,,,0.033905729254517514,0.2407347924289944,2.0
W,Z,1,0.02271329563215736,0.4320053104216917,False,standard,,,,,,0.02271329563215736,0.4320053104216917,2.0
W,X,1,0.07362362581677953,0.010768068424368433,False,standard,,,,,,0.07362362581677953,0.010768068424368433,2.0
W,Y,1,0.09285332455128213,0.0012873031531210975,True,standard,,,,,,0.09285332455128213,0.0012873031531210975,2.0
W,W,1,0.5443678917411641,1.879564426366595e-93,False,forbidden,,,,,,0.0,1.0,2.0
Z,Z,1,0.04949689314669329,0.08668116814794308,False,forbidden,,,,,,0.0,1.0,2.5
Z,X,1,0.8792420257286732,0.0,True,standard,,,,,,0.8792420257286732,0.0,2.5
Z,Y,1,0.0481242794971444,0.09579188058230069,False,standard,,,,,,0.0481242794971444,0.09579188058230069,2.5
Z,W,1,0.006275273057647348,0.8281563372875964,False,standard,,,,,,0.006275273057647348,0.8281563372875964,2.5
X,Z,1,0.005870598670101842,0.8390815127080514,False,standard,,,,,,0.005870598670101842,0.8390815127080514,2.5
X,X,1,0.5029563902650553,7.1568487320471795e-78,True,standard,,,,,,0.5029563902650553,7.1568487320471795e-78,2.5
X,Y,1,0.9055599980470729,0.0,False,protected_reject,0.04125474450884215,,,0.03105975095891067,0.28254022599553885,0.0,1.0,2.5
X,W,1,0.03181265425846553,0.2710302862705797,False,standard,,,,,,0.03181265425846553,0.2710302862705797,2.5
Y,Z,1,0.038995471578837926,0.17721344865603736,False,standard,,,,,,0.038995471578837926,0.17721344865603736,2.5
Y,X,1,0.255657596262963,2.401801903530987e-19,False,forbidden,,,,,,0.0,1.0,2.5
Y,Y,1,0.7919895567119848,9.101338234264892e-259,True,standard,,,,,,0.7919895567119848,9.101338234264892e-259,2.5
Y,W,1,0.028028247645571526,0.33219577401231404,False,standard,,,,,,0.028028247645571526,0.33219577401231404,2.5
W,Z,1,0.02271329563215736,0.4320053104216917,False,standard,,,,,,0.02271329563215736,0.4320053104216917,2.5
W,X,1,0.06197639212488948,0.0318845386929616,False,standard,,,,,,0.06197639212488948,0.0318845386929616,2.5
W,Y,1,0.07849892630614833,0.006537842436429577,True,standard,,,,,,0.07849892630614833,0.006537842436429577,2.5
W,W,1,0.5443678917411641,1.879564426366595e-93,False,forbidden,,,,,,0.0,1.0,2.5
