source,target,lag,pval,val,decision
Z,Z,1,0.08679408336146735,0.04949985034062467,False
Z,X,1,0.0,0.9838820521813118,True
Z,Y,1,0.5728060718017088,0.01632909687206482,False
Z,W,1,0.9535258191733634,0.0016862581831431022,False
X,Z,1,0.24627304969568575,0.03356604668565068,False
X,X,1,1.4687046086479357e-80,0.5116210798829819,True
X,Y,1,1.971748105379986e-158,0.6733853059428855,True
X,W,1,0.14632124140223027,0.04206504579456743,False
Y,Z,1,0.20951639484433773,0.036327479456558974,False
Y,X,1,8.873659278317838e-61,0.45082457154878314,True
Y,Y,1,3.596596085939122e-188,0.716077375755967,True
Y,W,1,0.23418595944746282,0.03445413683447974,False
W,Z,1,0.5776607501543797,0.016109488617684846,False
W,X,1,2.598603416639667e-17,0.24154566502285377,True
W,Y,1,6.574116959118165e-13,0.20591695482662992,True
W,W,1,2.623997131463358e-77,0.5017055655243912,True
