source,target,lag,std_r,std_p,decision,method,fstat,iv_coef,iv_p,proxy_r,proxy_p,val,pval
Z,Z,1,0.04949689314669329,0.08668116814794308,False,forbidden,,,,,,0.0,1.0
Z,X,1,0.8715357994900295,0.0,True,standard,,,,,,0.8715357994900295,0.0
Z,Y,1,0.05046956057844168,0.08065837157843264,False,standard,,,,,,0.05046956057844168,0.08065837157843264
Z,W,1,0.006275273057647348,0.8281563372875964,False,standard,,,,,,0.006275273057647348,0.8281563372875964
X,Z,1,0.00802042341478274,0.7814464028346337,False,standard,,,,,,0.00802042341478274,0.7814464028346337
X,X,1,0.5093147337877499,3.982091953406617e-80,True,standard,,,,,,0.5093147337877499,3.982091953406617e-80
X,Y,1,0.9014837808534281,0.0,False,protected_reject,0.07700460201757052,,,0.032642493639333706,0.258720729730027,0.0,1.0
X,W,1,0.037090473187937414,0.199345588653379,False,standard,,,,,,0.037090473187937414,0.199345588653379
Y,Z,1,0.041708357083709215,0.14892487669819685,False,standard,,,,,,0.041708357083709215,0.14892487669819685
Y,X,1,0.2729898564610355,6.193957932781904e-22,False,forbidden,,,,,,0.0,1.0
Y,Y,1,0.8007474314318322,1.0986483836040579e-268,True,standard,,,,,,0.8007474314318322,1.0986483836040579e-268
Y,W,1,0.033905729254517514,0.2407347924289944,False,standard,,,,,,0.033905729254517514,0.2407347924289944
W,Z,1,0.02271329563215736,0.4320053104216917,False,standard,,,,,,0.02271329563215736,0.4320053104216917
W,X,1,0.07362362581677953,0.010768068424368433,False,standard,,,,,,0.07362362581677953,0.010768068424368433
W,Y,1,0.09285332455128213,0.0012873031531210975,True,standard,,,,,,0.09285332455128213,0.0012873031531210975
W,W,1,0.5443678917411641,1.879564426366595e-93,False,forbidden,,,,,,0.0,1.0
